ID_TRX;Fecha;ID_Cliente;Monto
2907;1/8/2021;2242768012;40
3587;1/8/2021;1199047016;38,22
4956;1/8/2021;3413689013;50,59
9554;1/8/2021;9572510041;72,84
10756;1/8/2021;1117745014;40
15724;1/8/2021;2185261017;64
17366;1/8/2021;7065407012;20
18631;1/8/2021;44081014;41,36
19761;1/8/2021;2323813018;96,01
21579;1/8/2021;3658293034;30
22940;1/8/2021;1737873016;40,01
26598;1/8/2021;1069620068;50
27480;1/8/2021;7192411010;11,17
28302;1/8/2021;76223013;73,36
28851;1/8/2021;3769152020;50
30575;1/8/2021;10895017;40
35038;1/8/2021;3690829019;50
41565;1/8/2021;1255418028;44
1514;2/8/2021;7169515017;71,1
2721;2/8/2021;3713271017;50
4106;2/8/2021;60809025;29,6
4610;2/8/2021;2282572019;50
4742;2/8/2021;1288334012;75,32
5701;2/8/2021;1396652016;56,1
6739;2/8/2021;7222012036;35
6875;2/8/2021;4127111054;45,78
8693;2/8/2021;7076429013;53,02
9760;2/8/2021;2014029015;78,2
10017;2/8/2021;2229745017;45,37
10058;2/8/2021;2324411010;34,92
14810;2/8/2021;3832625044;58,4
15995;2/8/2021;1425630025;40
21912;2/8/2021;1416444030;67,33
22707;2/8/2021;78300017;45,36
23911;2/8/2021;2246998011;30
27610;2/8/2021;3755690017;45
28150;2/8/2021;3775553021;19,57
28840;2/8/2021;2205781010;55,96
29534;2/8/2021;9619490017;42,24
34136;2/8/2021;1265407021;40
35548;2/8/2021;7055082015;54
37667;2/8/2021;1075285011;25,98
37793;2/8/2021;70157019;42,43
38590;2/8/2021;3689614018;50
38741;2/8/2021;2282040017;55
38831;2/8/2021;55102014;50
39996;2/8/2021;3681930032;62,99
40321;2/8/2021;55102014;76
4494;3/8/2021;7166279013;43,98
5794;3/8/2021;1055503011;58
8280;3/8/2021;3832625044;40
23447;3/8/2021;7210718016;20
28139;3/8/2021;12225023;63,66
34250;3/8/2021;7203523019;60
42325;3/8/2021;79211015;63,69
43198;3/8/2021;7270026;61,7
3237;4/8/2021;60809025;40
7467;4/8/2021;1176877023;44
8998;4/8/2021;1161524026;40
39807;4/8/2021;70157019;50,89
43024;4/8/2021;24425033;18
4333;5/8/2021;1056199017;32,92
13305;5/8/2021;3922480037;61,7
16812;5/8/2021;7065392016;50
17989;5/8/2021;3620183016;69,56
19488;5/8/2021;2332472012;40
20063;5/8/2021;1072860014;61,02
29318;5/8/2021;3495175022;76
32874;5/8/2021;7221105013;40
42564;5/8/2021;45545017;100
43312;5/8/2021;2323813018;57,75
1032;6/8/2021;51211017;30
1788;6/8/2021;3850546015;72,2
5618;6/8/2021;3757493014;40,01
6207;6/8/2021;7055082015;42,02
7356;6/8/2021;3675514016;87,02
10274;6/8/2021;1177126022;50
12975;6/8/2021;1354568014;60,04
15627;6/8/2021;20811046;75,01
20789;6/8/2021;20811046;57,84
24004;6/8/2021;3394116036;20
27503;6/8/2021;1156857019;73
28273;6/8/2021;1167561014;50
29368;6/8/2021;1231899010;62,01
33940;6/8/2021;2084265010;45,63
37362;6/8/2021;1082011012;31,93
39479;6/8/2021;1363641026;50
41707;6/8/2021;1255418028;50
5997;7/8/2021;2280304019;101,27
10663;7/8/2021;1425630033;77,07
12958;7/8/2021;1203071010;20
18969;7/8/2021;1010535027;57,27
19322;7/8/2021;2037341017;17,38
19640;7/8/2021;1700752023;40
31021;7/8/2021;7164870011;56,51
37512;7/8/2021;2185261017;50,24
12758;8/8/2021;1117745014;40
12808;8/8/2021;1108458015;30
13243;8/8/2021;3839140013;52,6
13717;8/8/2021;51816013;22,01
13758;8/8/2021;1055485011;51,5
14030;8/8/2021;1226862025;81,2
15350;8/8/2021;7203523019;73,64
17533;8/8/2021;2323813018;57,01
18283;8/8/2021;1251716011;30
28864;8/8/2021;60809025;40
34478;8/8/2021;2238902013;50
35115;8/8/2021;44081014;31,69
37596;8/8/2021;3673740027;80,02
37684;8/8/2021;51816013;20
39877;8/8/2021;3681930032;61,3
1502;9/8/2021;7055082015;43
2137;9/8/2021;1257272019;46,88
4311;9/8/2021;1255418028;56,01
4374;9/8/2021;1435209059;71,03
6488;9/8/2021;1176059026;40,85
10516;9/8/2021;1117610010;61
14097;9/8/2021;3899811016;64,44
14666;9/8/2021;2177478017;50
14891;9/8/2021;1075285011;35,59
15248;9/8/2021;3854620014;75,32
19283;9/8/2021;45545017;60
19289;9/8/2021;3620183016;23,38
20478;9/8/2021;43727039;35,83
21673;9/8/2021;76223013;63,44
24783;9/8/2021;2280304019;63,29
26314;9/8/2021;1203071010;40
28610;9/8/2021;1055503011;49,44
29308;9/8/2021;60713011;49,08
29480;9/8/2021;3543445039;30
30988;9/8/2021;1382780029;88,02
31996;9/8/2021;2205781010;55,96
34058;9/8/2021;10253019;84,82
35103;9/8/2021;3157802012;46,3
38681;9/8/2021;1409442025;64
39224;9/8/2021;1144857014;67,92
40051;9/8/2021;2246998011;30
42410;9/8/2021;2282572019;60,04
42976;9/8/2021;1288334012;44,01
21299;10/8/2021;7195419010;60,95
23470;10/8/2021;3775553021;19,57
31011;10/8/2021;2242768012;41
42444;10/8/2021;1069356018;85,89
18340;11/8/2021;2166898019;40
33711;11/8/2021;3832625044;32
33903;11/8/2021;2298779012;78,02
36007;11/8/2021;1091969028;60
39389;11/8/2021;1152040016;38,1
829;12/8/2021;7231150017;16,49
5286;12/8/2021;3603736012;40
7939;12/8/2021;3690829019;50
8456;12/8/2021;3854620014;50,02
8940;12/8/2021;2251768028;100
13593;12/8/2021;7193456014;47,27
14305;12/8/2021;7055082015;52,5
15982;12/8/2021;2036308017;44,66
17211;12/8/2021;1221908011;73,47
20148;12/8/2021;3681930032;55,4
30326;12/8/2021;1271062016;60
33262;12/8/2021;1287776013;72,52
36820;12/8/2021;58063015;47,74
38330;12/8/2021;1327835029;29,31
38814;12/8/2021;78929039;49,5
39046;12/8/2021;2323813018;79,02
42038;12/8/2021;3991492020;71,51
42421;12/8/2021;7047134015;64,4
42670;12/8/2021;2109591010;49,33
43190;12/8/2021;1167930039;14,5
363;13/8/2021;1251716011;30
10328;13/8/2021;1156857019;80
12295;13/8/2021;1075285011;28,6
13333;13/8/2021;1435209059;47,75
13363;13/8/2021;55102014;51,99
13588;13/8/2021;2305765012;50,02
22486;13/8/2021;1339270025;15,24
27605;13/8/2021;60809025;73
29763;13/8/2021;3658293034;30
42427;13/8/2021;1382000022;46,04
618;14/8/2021;1055503011;49,19
1407;14/8/2021;1117745014;40
3803;14/8/2021;2166898019;90,45
4743;14/8/2021;2036308017;39,7
4996;14/8/2021;3977600034;79,9
6391;14/8/2021;1001971015;39,1
9405;14/8/2021;1737873016;60,02
13277;14/8/2021;44081014;54,01
13394;14/8/2021;3197932019;34
17554;14/8/2021;2321670014;20
17824;14/8/2021;1425630025;45,28
20881;14/8/2021;2197186012;52,57
28089;14/8/2021;1072296029;52,94
31638;14/8/2021;3673675017;84,76
34300;14/8/2021;52809017;40
35296;14/8/2021;3225990013;75,69
607;15/8/2021;1289119024;30
12273;15/8/2021;21616014;51,41
15575;15/8/2021;2163027018;36
19122;15/8/2021;3431289010;88,01
30557;15/8/2021;3769152020;50
1282;16/8/2021;5605033;57,9
1429;16/8/2021;2323813018;61,46
2634;16/8/2021;1056199017;46
2832;16/8/2021;2324411010;50
3067;16/8/2021;2014029015;65
4629;16/8/2021;79211015;55,65
4844;16/8/2021;1476886013;78,56
6252;16/8/2021;1396652016;43,2
8282;16/8/2021;3618552016;51,96
13914;16/8/2021;2246998011;40
13936;16/8/2021;3663240012;61,65
14047;16/8/2021;7160365016;47,01
14856;16/8/2021;7203523019;58,45
17058;16/8/2021;2205781010;63,75
20409;16/8/2021;3713271017;63
21368;16/8/2021;1416444030;50,12
27269;16/8/2021;3671255010;62,3
32286;16/8/2021;24427021;49,62
33608;16/8/2021;3755690017;38,11
34097;16/8/2021;3991492020;47,88
38886;16/8/2021;2166898019;60
39166;16/8/2021;2272957014;53,21
40386;16/8/2021;7093812019;66,26
42148;16/8/2021;1476886013;42,4
3222;17/8/2021;24427021;9,92
8179;17/8/2021;81769018;23,16
39766;17/8/2021;1176877023;45
42419;17/8/2021;1167930039;9,83
3963;18/8/2021;1409442025;60
14060;18/8/2021;7236159013;29,01
17709;18/8/2021;3413689013;47,47
30413;18/8/2021;24427021;14,89
30889;18/8/2021;21616014;43,46
37739;18/8/2021;12225023;59,11
41303;18/8/2021;2166898019;60
1309;19/8/2021;1224163010;75,75
7241;19/8/2021;55102014;50
11395;19/8/2021;7203523019;59,82
19771;19/8/2021;3736936018;60,6
20225;19/8/2021;7166279013;48,87
23238;19/8/2021;3658293034;30
24252;19/8/2021;2084368012;70,44
25345;19/8/2021;2166898019;40
32582;19/8/2021;3788982019;40
34570;19/8/2021;78929039;67,12
35799;19/8/2021;3771410010;71,7
38029;19/8/2021;2036308017;59,75
38763;19/8/2021;1354568014;54,2
5141;20/8/2021;81769018;55,51
6962;20/8/2021;7090699013;95,82
17203;20/8/2021;2305934014;56,52
18775;20/8/2021;2305765012;60
42394;20/8/2021;3960885014;42
3464;21/8/2021;3681930024;60
4351;21/8/2021;1167930039;10,38
6798;21/8/2021;1240886026;30
7743;21/8/2021;1072860014;40
9265;21/8/2021;2162322014;57,01
9341;21/8/2021;3991960018;98
9585;21/8/2021;3623978016;90,51
12743;21/8/2021;1363641026;30
17674;21/8/2021;24427021;9,93
21914;21/8/2021;7167066021;65,16
26778;21/8/2021;1226862025;49,63
27700;21/8/2021;7169515017;79
30120;21/8/2021;3947491019;40
31630;21/8/2021;2242768012;55,2
35951;21/8/2021;2166898019;40
38888;21/8/2021;3832625044;50,02
1598;22/8/2021;1039957020;94,96
2142;22/8/2021;3639213010;13,67
3904;22/8/2021;3507150021;40
15866;22/8/2021;3769152020;50
18141;22/8/2021;24427021;14,89
19529;22/8/2021;1203071010;20
26907;22/8/2021;1189895010;30
28129;22/8/2021;1156857019;60,01
33302;22/8/2021;2562021;41
35116;22/8/2021;2321947016;69,31
37224;22/8/2021;2156731014;40
39710;22/8/2021;1117745014;40
1192;23/8/2021;3909357018;35
3471;23/8/2021;3676777034;30
8806;23/8/2021;1413317023;23
13355;23/8/2021;2197186012;40,02
13616;23/8/2021;9531410028;56,07
13655;23/8/2021;1189895010;51,56
15003;23/8/2021;2166898019;40
15412;23/8/2021;2282040017;60
20925;23/8/2021;51398020;51,1
21576;23/8/2021;1288334012;86
22695;23/8/2021;3681930032;65
23350;23/8/2021;2321945010;75,63
27235;23/8/2021;7222012036;40
29785;23/8/2021;1203071010;46,5
36947;23/8/2021;3573586017;30
38455;23/8/2021;3194639039;82
39303;23/8/2021;79211015;38,19
40057;23/8/2021;1416444030;58,12
804;24/8/2021;1176877023;56,03
6143;24/8/2021;7098742021;17,86
8305;24/8/2021;7231150017;15
23537;24/8/2021;2032049029;50
25102;24/8/2021;24427021;9,92
26943;24/8/2021;3775553021;19,58
27301;24/8/2021;51211017;59,02
28225;24/8/2021;3855571018;71,34
3668;25/8/2021;24427021;9,92
22920;25/8/2021;2087623017;20
25227;25/8/2021;2191897010;55,39
34761;25/8/2021;2086060013;19,85
154;26/8/2021;2083547012;66,5
2206;26/8/2021;3569967015;55,5
3476;26/8/2021;20811046;68,72
4212;26/8/2021;1117745014;40
6086;26/8/2021;3771410010;60,48
13068;26/8/2021;3899811016;53,89
16259;26/8/2021;2166898019;40
16662;26/8/2021;7065407012;69,7
16960;26/8/2021;2104521012;69,51
25978;26/8/2021;7171646032;65,69
31650;26/8/2021;1109145017;40,6
32039;26/8/2021;65424010;28
